<<<<<<< HEAD
DILIST_ID,CompoundName,DILIst Classification,Routs of Administration,SMILES,NEW SMILES
1,mercaptopurine,1,Oral,C1=NC2=C(N1)C(=S)N=CN2,C1=NC2=C(N1)C(=S)N=CN2
2,acetaminophen,1,Oral,CC(=O)NC1=CC=C(C=C1)O,CC(=O)NC1=CC=C(C=C1)O
3,azathioprine,1,Oral,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
4,chlorpheniramine,0,Oral,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
5,clofibrate,1,Oral,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
6,cyclophosphamide,1,Oral,C1CNP(=O)(OC1)N(CCCl)CCCl,C1CNP(=O)(OC1)N(CCCl)CCCl
7,dopamine,0,Intravenous,C1=CC(=C(C=C1CCN)O)O,C1=CC(=C(C=C1CCN)O)O
8,estradiol,1,Oral,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
9,fluoxetine,1,Oral,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
10,gemfibrozil,1,Oral,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
11,indomethacin,1,Oral,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
12,ketoprofen,1,Oral,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
13,mannitol,0,Intravenous,C(C(C(C(C(CO)O)O)O)O)O,C(C(C(C(C(CO)O)O)O)O)O
14,methotrexate,1,Oral,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
15,phenobarbital,1,Oral,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
16,phenytoin,1,Oral,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
