<<<<<<< HEAD
DILIST_ID,CompoundName,DILIst Classification,Routs of Administration,SMILES,NEW SMILES,MolecularWeight,TPSA,XLogP,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount
1,mercaptopurine,1,Oral,C1=NC2=C(N1)C(=S)N=CN2,C1=NC2=C(N1)C(=S)N=CN2,152.18,85.2,0,0,2,2,0,10
2,acetaminophen,1,Oral,CC(=O)NC1=CC=C(C=C1)O,CC(=O)NC1=CC=C(C=C1)O,151.16,49.3,0.5,0,2,2,1,11
3,azathioprine,1,Oral,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],277.27,143,0.1,0,1,7,2,19
4,chlorpheniramine,0,Oral,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,274.79,16.1,3.4,0,0,2,5,19
5,clofibrate,1,Oral,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.7,35.5,3.3,0,0,3,5,16
6,cyclophosphamide,1,Oral,C1CNP(=O)(OC1)N(CCCl)CCCl,C1CNP(=O)(OC1)N(CCCl)CCCl,261.08,41.6,0.6,0,1,4,5,14
7,dopamine,0,Intravenous,C1=CC(=C(C=C1CCN)O)O,C1=CC(=C(C=C1CCN)O)O,153.18,66.5,-1,0,3,3,2,11
8,estradiol,1,Oral,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,272.4,40.5,4,0,2,2,0,20
9,fluoxetine,1,Oral,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,309.33,21.3,4,0,1,5,6,22
10,gemfibrozil,1,Oral,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,250.33,46.5,3.8,0,1,3,6,18
11,indomethacin,1,Oral,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,357.8,68.5,4.3,0,1,4,4,25
12,ketoprofen,1,Oral,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,254.28,54.4,3.1,0,1,3,4,19
13,mannitol,0,Intravenous,C(C(C(C(C(CO)O)O)O)O)O,C(C(C(C(C(CO)O)O)O)O)O,182.17,121,-3.1,0,6,6,5,12
14,methotrexate,1,Oral,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,454.4,211,-1.8,0,5,12,9,33
15,phenobarbital,1,Oral,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,232.23,75.3,1.5,0,2,3,2,17
16,phenytoin,1,Oral,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,252.27,58.2,2.5,0,2,2,2,19
17,rifampin,1,Oral,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,822.9,220,4.9,0,6,15,5,59
18,tetracycline,1,Oral,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,444.4,182,-2,0,6,9,2,32
19,abacavir,1,Oral,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,286.33,102,0.9,0,3,6,4,21
20,aciclovir,1,Oral,C1=NC2=C(N1COCCO)N=C(NC2=O)N,C1=NC2=C(N1COCCO)N=C(NC2=O)N,225.2,115,-1.9,0,3,5,4,16
21,allopurinol,1,Oral,C1=NNC2=C1C(=O)NC=N2,C1=NNC2=C1C(=O)NC=N2,136.11,70.1,-0.7,0,2,3,0,10
22,amineptine,1,Oral,C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O,C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O,337.5,49.3,2.1,0,2,3,8,25
23,amiodarone,1,Oral,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,645.3,42.7,7.6,0,0,4,11,31
24,amitriptyline,1,Oral,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.4,3.2,5,0,0,1,3,21
25,amphotericin b,1,Intravenous,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,924.1,320,0,0,12,18,3,65
26,ampicillin,1,Oral,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,349.4,138,-1.1,0,3,6,4,24
